sample,model,cond,lam,estimator,est,lo,hi,p,n,I2,p_holm
all,knee_plateau,ec,0.0,theilsen,-0.036991577888676186,-0.0535452264766746,-0.020325532885843087,,2559,,
all,knee_plateau,ec,0.0,skipped,-0.0688314057816926,-0.11003461390123565,-0.030702236420215592,0.0010193132169866988,2559,,
all,knee_plateau,ec,0.0,wls,-0.0490007807836035,-0.06396479431873227,-0.03403676724847473,1.3803222960574496e-10,2559,,
all,knee_plateau,ec,0.0,covar,-0.014990765299255967,-0.03895475391536779,0.008973223316855853,0.22017496320825647,2559,,
all,knee_plateau,ec,0.0,release_re,-0.047287832927885,-0.07329177525567701,-0.021283890600092982,0.0023167126279744227,2559,0.2000667163110584,
all,knee_plateau,ec,0.0,age5_16,-0.0213769301508922,-0.04940251438492063,0.006648654083136231,0.1349166327210375,2559,,
all,knee_plateau,ec,0.0,quad,-0.01618438301940866,-0.046320940549385625,0.013952174510568308,0.2925385467492113,2559,,
all,knee_plateau,ec,1.0,ols,0.051734914539700326,0.036256121160323944,0.06721370791907672,5.722744491320282e-11,2559,,2.861372245660141e-10
all,knee_plateau,ec,1.0,boot,0.051734914539700326,0.03677530470508157,0.06608853076334456,,2559,,
all,knee_plateau,ec,1.0,huber,0.05110798003260503,0.03952763280788883,0.06268832725732122,5.15073540399341e-18,2559,,
all,knee_plateau,ec,1.0,theilsen,0.0537505510147742,0.04189962020292542,0.06564067510802707,,2559,,
all,knee_plateau,ec,1.0,skipped,0.20711223100396325,0.16981677225743647,0.24613517108801064,1.7944683073586937e-23,2559,,
all,knee_plateau,ec,1.0,wls,0.0439782098887231,0.0339631092641842,0.053993310513262,7.527637410842154e-18,2559,,
all,knee_plateau,ec,1.0,covar,0.06995983131352829,0.05315863455828569,0.08676102806877088,3.3157790395820503e-16,2559,,
all,knee_plateau,ec,1.0,release_re,0.04879637412002638,0.03764498508369939,0.059947763156353376,2.0038980482173424e-06,2559,0.0,
all,knee_plateau,ec,1.0,age5_16,0.0663662799565114,0.04767414580317007,0.08505841410985272,3.430927026435361e-12,2559,,
all,knee_plateau,ec,1.0,quad,0.06375999048836806,0.043537325056384565,0.08398265592035155,6.427827411938877e-10,2559,,
all,knee_plateau,ec,1.0,"ln(tot/b), all",0.032985401464888306,0.02466682313732215,0.04130397979245446,7.738797307518408e-15,2798,,
all,knee_plateau,ec,0.0,"linear a, Theil-Sen, %/y",-0.018668170911559326,-0.031531365425809275,-0.006774841329735823,,2798,,
all,knee_plateau,eo,0.0,ols,-0.1294423574781031,-0.15540947985935735,-0.10347523509684882,1.5124651520755464e-22,2070,,1.0587256064528824e-21
all,knee_plateau,eo,0.0,boot,-0.1294423574781031,-0.1554402042329174,-0.10463896538878141,,2070,,
all,knee_plateau,eo,0.0,huber,-0.12668778030873024,-0.14766352985874695,-0.10571203075871353,2.493552803518894e-32,2070,,
all,knee_plateau,eo,0.0,theilsen,-0.1297966031521394,-0.15211079500332284,-0.1078854891790633,,2070,,
all,knee_plateau,eo,0.0,skipped,-0.23667700018514867,-0.2782447011903406,-0.19592600447523217,5.894645144668285e-25,2070,,
all,knee_plateau,eo,0.0,wls,-0.12621276414991403,-0.15001031500623707,-0.10241521329359099,2.6164064341534654e-25,2070,,
all,knee_plateau,eo,0.0,covar,-0.1247598381463797,-0.15116684066605812,-0.09835283562670127,2.0472634398642614e-20,2070,,
all,knee_plateau,eo,0.0,release_re,-0.13204969977828662,-0.16673767118850347,-0.09736172836806976,7.027982753550453e-06,2070,0.30267161283054517,
all,knee_plateau,eo,0.0,age5_16,-0.1507810429088827,-0.1853296311326984,-0.11623245468506699,1.1899069892552095e-17,2070,,
all,knee_plateau,eo,0.0,quad,-0.14475352039039077,-0.18311215940430947,-0.10639488137647206,1.4004011081996446e-13,2070,,
all,knee_plateau,eo,1.0,ols,-0.0015290893344860133,-0.02042717409813971,0.017368995429167686,0.8739955451191491,2070,,0.8739955451191491
all,knee_plateau,eo,1.0,boot,-0.0015290893344860133,-0.020354869057225344,0.016274359452172687,,2070,,
all,knee_plateau,eo,1.0,huber,0.0031123408415502825,-0.013121124168857131,0.019345805851957696,0.7070866646299451,2070,,
all,knee_plateau,eo,1.0,theilsen,0.00473417912381628,-0.012160763305115866,0.021415333989325002,,2070,,
all,knee_plateau,eo,1.0,skipped,0.034358680863330035,-0.013079847114165762,0.08185492889091822,0.13706122479776733,2070,,
all,knee_plateau,eo,1.0,wls,0.005575505538702906,-0.010545501068899944,0.021696512146305757,0.49786028641327573,2070,,
all,knee_plateau,eo,1.0,covar,0.009031811068327856,-0.009636465398511358,0.02770008753516707,0.34300679917643717,2070,,
all,knee_plateau,eo,1.0,release_re,-0.0021461871903977765,-0.03451822288173998,0.03022584850094443,0.8854996246814131,2070,0.5538702138857041,
all,knee_plateau,eo,1.0,age5_16,-0.008815790811093962,-0.03256810450645505,0.014936522884267127,0.46695002787886775,2070,,
all,knee_plateau,eo,1.0,quad,-0.00073030933018832,-0.024726159238263584,0.023265540577886944,0.9524334809665256,2070,,
all,knee_plateau,eo,1.0,"ln(tot/b), all",-0.008987735713261846,-0.01749463323034393,-0.00048083819617976073,0.038382381886399516,2798,,
all,knee_plateau,eo,0.0,"linear a, Theil-Sen, %/y",-0.14091934045323612,-0.1743026026139154,-0.1090693783410703,,2798,,
